module	worst_arrival_ps	worst_output	area_um2
mul16_mac_requant_evo608_area	6270.0	y[35]	9546.66
mul16_mac_requant_evo608_classic	4740.0	y[33]	14417.58
mul16_mac_requant_evo608_default	7400.0	y[45]	9123.75
mul16_mac_requant_evo608_norules_area	6480.0	y[35]	9537.90
mul16_mac_requant_evo608_norules_classic	5540.0	y[33]	14156.08
mul16_mac_requant_evo608_norules_default	7630.0	y[42]	9285.16
mul16_mac_requant_evo608_norules_resyn	5690.0	y[33]	13788.22
mul16_mac_requant_evo608_resyn	5500.0	y[33]	13472.92
mul8_mac_requant_evo608_area	4540.0	y[17]	2528.68
mul8_mac_requant_evo608_classic	3380.0	y[17]	3886.23
mul8_mac_requant_evo608_default	4800.0	y[17]	2462.36
mul8_mac_requant_evo608_norules_area	4990.0	y[17]	2524.92
mul8_mac_requant_evo608_norules_classic	3440.0	y[17]	4013.85
mul8_mac_requant_evo608_norules_default	4640.0	y[17]	2421.07
mul8_mac_requant_evo608_norules_resyn	3490.0	y[17]	3829.92
mul8_mac_requant_evo608_resyn	3580.0	y[17]	3500.86
