module	worst_arrival_ps	worst_output	area_um2
mul16_mac_requant_evo477_area	6370.0	y[33]	9348.97
mul16_mac_requant_evo477_classic	4490.0	y[33]	13800.74
mul16_mac_requant_evo477_default	8730.0	y[33]	8978.61
mul16_mac_requant_evo477_norules_area	6380.0	y[33]	9342.71
mul16_mac_requant_evo477_norules_classic	4890.0	y[33]	14103.53
mul16_mac_requant_evo477_norules_default	8840.0	y[33]	8967.35
mul16_mac_requant_evo477_norules_resyn	5880.0	y[33]	12848.57
mul16_mac_requant_evo477_resyn	5860.0	y[33]	13006.22
mul8_mac_requant_evo477_area	4550.0	y[17]	2537.43
mul8_mac_requant_evo477_classic	3170.0	y[17]	3771.12
mul8_mac_requant_evo477_default	5510.0	y[17]	2414.82
mul8_mac_requant_evo477_norules_area	4440.0	y[17]	2521.17
mul8_mac_requant_evo477_norules_classic	2960.0	y[17]	3838.68
mul8_mac_requant_evo477_norules_default	4250.0	y[17]	2408.56
mul8_mac_requant_evo477_norules_resyn	3730.0	y[17]	3802.40
mul8_mac_requant_evo477_resyn	3730.0	y[17]	3844.94
