module	worst_arrival_ps	worst_output	area_um2
mul24_mac_ufomac_brentkung_mux_classic	6070.0	y[49]	30501.75
mul24_mac_ufomac_brentkung_mux_default	9590.0	y[45]	19842.78
mul24_mac_ufomac_brentkung_xormaj_classic	5940.0	y[49]	32837.74
mul24_mac_ufomac_brentkung_xormaj_default	11940.0	y[51]	19974.16
mul24_mac_ufomac_koggestone_mux_classic	5650.0	y[49]	33737.36
mul24_mac_ufomac_koggestone_mux_default	9390.0	y[52]	21893.50
mul24_mac_ufomac_koggestone_xormaj_classic	6260.0	y[49]	37818.77
mul24_mac_ufomac_koggestone_xormaj_default	8070.0	y[50]	22024.87
mul24_mac_ufomac_sklansky_mux_classic	6970.0	y[49]	31540.25
mul24_mac_ufomac_sklansky_mux_default	12150.0	y[49]	20323.24
mul24_mac_ufomac_sklansky_xormaj_classic	6700.0	y[49]	34030.14
mul24_mac_ufomac_sklansky_xormaj_default	13260.0	y[49]	20091.77
