module	class	source_sha256
mul24_mac_replay_candidate	candidate	4fd7f249fff05fd5833a33fdfb627075dab4a7ed9a1e2703b13d4b80561d06b6
mul24_mac_replay_norules	ablation	b9e4bacccc3a0185413aedf51b7c0711e7b0ce9d72c4d22792c777cbb9d599a6
mul24_mac_arrival_dadda_sklansky_mux	arrival_control	23964b3e35f721c851ced542409fbdd7f1fa4f5de69da007900e0741687713ec
mul24_mac_arrival_dadda_sklansky_xormaj	arrival_control	1acb8d0749572a7d269a881f64983bb1a93a12bc5989f61c89a817004185fb16
mul24_mac_arrival_dadda_brentkung_mux	arrival_control	e91167c9c2ad743a9ecb3e91bad67783cc20ded2ca9ec676a72c4817d8874350
mul24_mac_arrival_dadda_brentkung_xormaj	arrival_control	264c6f56d1cfc7e52bd07b5d295872dad60c81e1caca5828a96af4bb4fe7dbe3
mul24_mac_arrival_dadda_koggestone_mux	arrival_control	614468b583f169fb46061e8698b98afe10722e27424c65ec782892f567642f4a
mul24_mac_arrival_dadda_koggestone_xormaj	arrival_control	4d2f59cdfc8e4a0cb1b5609076f8ccc66264087c765f2a11fd4fc8449ef99871
mul24_mac_arrival_fullnoha_sklansky_mux	arrival_control	75fc89ac4a1b0e03284d47204804fcb0e88e4dbc7fdc92a6ca5979fd27a457a7
mul24_mac_arrival_fullnoha_sklansky_xormaj	arrival_control	8db5056d30a1b071de449090e402f3bcc955133a5dcfeb41557c01a49a619599
mul24_mac_arrival_fullnoha_brentkung_mux	arrival_control	6ad998b5c637b86059943c6d1dd611e60a52c02d8ae7393568921cdff7677f9d
mul24_mac_arrival_fullnoha_brentkung_xormaj	arrival_control	a84fc1b1c4ec8db8466395106c39b233b1cbbecd500dc8a93b84ab3bac966f4f
mul24_mac_arrival_fullnoha_koggestone_mux	arrival_control	518e6cd07a44a5e2aa4a74533c4516794ffbb49703c426677d6f7b34c04aa4de
mul24_mac_arrival_fullnoha_koggestone_xormaj	arrival_control	1151a27cf0b247d224e6fff13f0506337fd31c5d31533a2393d94787a5f883fe
mac24_reference	behavioral	6d804cd41fd1929a818c8d700075ce4185aa3312dcd793abfb19dbe2b93fe14d
